,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1958,TRON,TRX,tron,1002,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87052364483.6797,87052372228.19258,True,,11,71659659264.0,9903576958.78188,,2024-07-29T19:46:00.000Z,0.1382029591055729,376297182.33892787,64.8216,0.19044672,-0.32547815,3.86736314,9.81627898,23.39107052,16.98306318,12030894368.781412,0.4988,12030895439.1,,2024-07-29T19:46:00.000Z,,,,,,2024-07-30 02:49:06.025136
11,5805,Avalanche,AVAX,avalanche,756,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394867497.9720623,444213867.9720623,False,,12,,,,2024-07-29T19:46:00.000Z,27.5137848159519,341083658.8245596,42.0989,0.04401087,-0.10926322,-14.44640539,-0.96392737,-24.82920007,-14.89239706,10864299370.016645,0.4502,19692956236.86,,2024-07-29T19:46:00.000Z,,,,,,2024-07-30 02:49:06.025136
12,5994,Shiba Inu,SHIB,shiba-inu,849,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270540915465.4,589519103697517.6,False,,13,,,,2024-07-29T19:46:00.000Z,1.677730784482222e-05,214543163.0700743,15.4872,0.41105824,-0.23893699,-5.67445278,-1.42619305,-35.86912143,-23.65518218,9886373268.823671,0.4098,9890543483.14,,2024-07-29T19:46:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-30 02:49:06.025136
13,1831,Bitcoin Cash,BCH,bitcoin-cash,904,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19739750.0,19739750.0,False,,14,,,,2024-07-29T19:46:00.000Z,445.8265528830591,558808692.3441569,40.9888,0.52749174,6.61935174,12.62087989,16.50013022,-4.98318793,4.11758049,8800504697.273365,0.3648,9362357610.54,,2024-07-29T19:46:00.000Z,,,,,,2024-07-30 02:49:06.025136
14,1975,Chainlink,LINK,chainlink,1820,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-29T19:46:00.000Z,13.616950166137206,253598756.99921635,38.5301,0.42340161,1.9002236,-3.94637545,0.16866851,-24.67689249,5.13948902,8280466993.685104,0.3431,13616950166.14,,2024-07-29T19:46:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-30 02:49:06.025136
0,1,Bitcoin,BTC,bitcoin,11617,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19732915.0,19732915.0,False,,1,,,,2024-07-29T19:49:00.000Z,67429.23644888794,39057194886.48711,31.2669,0.12809897,-1.03625229,-1.06425915,10.64813865,-1.6892264,12.55034154,1330575391360.8076,55.1199,1416013965426.65,,2024-07-29T19:49:00.000Z,,,,,,2024-07-30 02:50:06.868257
1,1027,Ethereum,ETH,ethereum,9177,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120228315.01960197,120228315.01960197,True,,2,,,,2024-07-29T19:48:00.000Z,3309.6388511651426,17100087221.930538,39.9123,-0.11629323,1.16093922,-5.2409948,-2.05318141,-12.24444813,11.86802516,397912302398.99634,16.4806,397912302399.0,,2024-07-29T19:48:00.000Z,,,,,,2024-07-30 02:50:06.868257
2,825,Tether USDt,USDT,tether,92897,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,114417852141.83315,117068083204.49164,True,,3,,,,2024-07-29T19:48:00.000Z,1.0000297963973837,61047675345.4752,29.8731,0.00307215,0.01292393,-0.0320408,0.16521964,-0.01035059,0.11990875,114421261381.62335,4.7391,117071571411.62,,2024-07-29T19:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-30 02:50:06.868257
3,5426,Solana,SOL,solana,709,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464827146.8523454,581199459.8202066,True,,4,,,,2024-07-29T19:48:00.000Z,186.70009177389923,3431667995.3843384,34.0742,0.26048263,1.17189675,2.26564264,32.11477253,10.64263204,51.88881106,86783270976.33263,3.5944,108509992487.37,,2024-07-29T19:48:00.000Z,,,,,,2024-07-30 02:50:06.868257
4,1839,BNB,BNB,bnb,2200,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145867524.8423949,145867524.8423949,False,,5,,,,2024-07-29T19:48:00.000Z,578.7021305370095,1819886957.7638676,12.3729,0.10041197,-0.87440937,-2.7789874,1.44487991,-3.15762047,1.47704215,84413847402.45407,3.4965,84413847402.45,,2024-07-29T19:48:00.000Z,,,,,,2024-07-30 02:50:06.868257
